molecule_chembl_id,canonical_smiles,standard_value,bioactivity_classification
CHEMBL91807,Oc1cccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)c1,3.0,active
CHEMBL91807,Oc1cccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)c1,3.6,active
CHEMBL92635,CC1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3cccc(O)c3)cc2)CC1,0.8,active
CHEMBL92635,CC1CCN(CCOc2ccc([C@@H]3Oc4ccc(O)cc4S[C@@H]3c3cccc(O)c3)cc2)CC1,4.0,active
CHEMBL77609,CCC1Oc2cc(O)cc(C)c2N=C1c1ccc(O)c(Br)c1,180.0,active
CHEMBL264862,CC1Oc2cc(O)cc(O)c2N=C1c1ccc(O)cc1,2800.0,intermediate
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,28.0,active
CHEMBL68549,[O-][S+]1c2cc(O)ccc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,100000.0,inactive
CHEMBL328716,Oc1ccc([C@@H]2Sc3c(ccc(O)c3F)O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,0.8,active
CHEMBL328716,Oc1ccc([C@@H]2Sc3c(ccc(O)c3F)O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,2.5,active
CHEMBL327515,Cc1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)cc1,31.0,active
CHEMBL327515,Cc1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)cc1,3.5,active
CHEMBL70117,O=S1(=O)c2cc(O)ccc2O[C@H](c2ccc(OCCN3CCCCC3)cc2)[C@@H]1c1ccc(O)cc1,1090.0,intermediate
CHEMBL135,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,11.0,active
CHEMBL101719,CN(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,71.0,active
CHEMBL101719,CN(C)c1cccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCCC3)cc2)c1,19.8,active
CHEMBL93793,Cc1cc(O)cc2c1S[C@@H](c1ccc(O)cc1)[C@@H](c1ccc(OCCN3CCCCC3)cc1)O2,2.0,active
